Date,Dead/Dying Tree
2020-06-01,39
2020-06-03,41
2020-06-06,33
2020-06-08,62
2020-06-14,21
2020-06-17,41
2020-06-19,62
2020-06-22,42
2020-06-26,46
2020-06-30,91
2020-07-01,69
2020-07-06,81
2020-07-07,49
2020-07-09,41
2020-07-11,41
2020-07-13,64
2020-07-15,51
2020-07-23,54
2020-07-30,33
2020-08-02,29
2020-08-03,71
2020-08-04,213
2020-08-05,158
2020-08-06,122
2020-08-07,74
2020-08-10,94
2020-08-11,65
2020-08-16,22
2020-08-17,67
2020-08-18,74
2020-08-25,53
2020-08-28,53
2020-09-06,20
2020-09-08,69
2020-09-09,41
2020-10-01,33
2020-10-07,29
2020-10-16,20
2020-10-19,31
2020-10-20,19
2020-10-25,7
2020-10-30,20
2020-11-10,34
2020-11-12,23
2020-07-08,61
2020-07-16,47
2020-08-09,42
2020-08-22,18
2020-09-10,36
2020-09-23,34
2020-10-21,32
2020-06-04,58
2020-06-09,52
2020-06-10,60
2020-06-12,49
2020-06-18,60
2020-06-21,15
2020-06-23,44
2020-06-24,41
2020-06-25,53
2020-06-27,14
2020-06-28,33
2020-07-02,36
2020-07-10,59
2020-07-17,54
2020-07-18,12
2020-07-21,48
2020-07-22,48
2020-07-24,25
2020-07-26,26
2020-07-27,46
2020-07-31,42
2020-08-13,63
2020-08-14,77
2020-08-15,32
2020-08-21,38
2020-08-24,57
2020-08-26,71
2020-08-29,22
2020-09-02,40
2020-09-03,42
2020-10-06,39
2020-10-08,32
2020-10-12,21
2020-10-13,23
2020-10-15,24
2020-10-18,13
2020-10-24,11
2020-10-26,16
2020-10-31,14
2020-11-02,34
2020-11-03,28
2020-11-16,28
2020-06-05,47
2020-06-07,17
2020-06-13,29
2020-06-15,51
2020-06-16,50
2020-06-20,17
2020-06-29,70
2020-07-03,32
2020-07-04,16
2020-07-12,22
2020-07-14,42
2020-07-20,39
2020-07-25,18
2020-07-28,54
2020-08-01,19
2020-08-08,44
2020-08-19,44
2020-08-20,70
2020-08-23,25
2020-08-27,47
2020-08-31,43
2020-09-01,45
2020-09-04,35
2020-09-05,22
2020-09-07,15
2020-09-13,24
2020-09-14,44
2020-09-15,42
2020-09-16,46
2020-09-17,44
2020-09-18,36
2020-09-20,7
2020-09-22,30
2020-09-24,36
2020-09-25,28
2020-09-28,32
2020-09-29,42
2020-09-30,41
2020-10-04,13
2020-10-05,30
2020-10-09,20
2020-10-22,16
2020-10-23,22
2020-10-27,34
2020-10-28,10
2020-11-04,19
2020-11-05,18
2020-11-08,7
2020-11-11,8
2020-11-14,5
2020-11-19,11
2020-11-20,9
2020-11-24,16
2020-11-09,23
2020-11-18,13
2020-06-11,44
2020-07-05,24
2020-08-12,64
2020-09-11,24
2020-09-12,16
2020-09-21,36
2020-09-27,15
2020-06-02,48
2020-07-29,36
2020-10-14,47
2020-11-06,14
2020-11-07,13
2020-11-21,8
2020-11-23,12
2020-09-26,18
2020-10-02,22
2020-10-03,27
2020-10-11,12
2020-10-29,17
2020-11-17,25
2020-09-19,13
2020-07-19,23
2020-10-10,10
2020-11-15,8
2020-08-30,16
2020-11-13,20
2020-11-22,5
2020-11-01,5
2020-10-17,6
