Date,Blocked Driveway
2020-06-04,200
2020-06-05,217
2020-06-06,222
2020-06-07,203
2020-06-09,205
2020-06-10,248
2020-06-11,219
2020-06-12,239
2020-06-13,231
2020-06-14,228
2020-06-16,264
2020-06-17,278
2020-06-18,259
2020-06-19,246
2020-06-20,258
2020-06-21,280
2020-06-22,280
2020-06-23,299
2020-06-24,287
2020-06-25,269
2020-06-26,352
2020-06-27,306
2020-06-28,266
2020-06-29,307
2020-06-30,292
2020-07-01,251
2020-07-04,238
2020-07-05,257
2020-07-06,290
2020-07-07,297
2020-07-08,286
2020-07-09,280
2020-07-10,266
2020-07-13,334
2020-07-14,283
2020-07-16,296
2020-07-18,295
2020-07-19,337
2020-07-20,347
2020-07-21,308
2020-07-22,363
2020-07-23,357
2020-07-24,368
2020-07-25,321
2020-07-26,331
2020-07-27,383
2020-07-28,358
2020-07-29,336
2020-07-30,353
2020-07-31,380
2020-08-01,341
2020-08-02,382
2020-08-03,396
2020-08-04,335
2020-08-05,388
2020-08-06,365
2020-08-07,418
2020-08-08,375
2020-08-09,367
2020-08-10,339
2020-08-11,376
2020-08-12,337
2020-08-13,378
2020-08-14,364
2020-08-15,344
2020-08-16,352
2020-08-17,358
2020-08-18,393
2020-08-19,343
2020-08-20,361
2020-08-21,354
2020-08-22,390
2020-08-23,407
2020-08-24,331
2020-08-25,357
2020-08-26,380
2020-08-27,368
2020-08-28,361
2020-08-29,341
2020-08-30,397
2020-08-31,423
2020-09-01,376
2020-09-02,355
2020-09-03,378
2020-09-04,364
2020-09-05,379
2020-09-06,383
2020-09-07,403
2020-09-08,424
2020-09-09,401
2020-09-10,412
2020-09-11,454
2020-09-12,414
2020-09-13,444
2020-09-14,477
2020-09-15,421
2020-09-16,400
2020-09-17,400
2020-09-18,422
2020-09-19,400
2020-09-20,440
2020-09-21,417
2020-09-22,397
2020-09-23,450
2020-09-24,459
2020-09-25,432
2020-09-26,428
2020-09-27,389
2020-09-29,453
2020-09-30,472
2020-10-01,465
2020-10-02,431
2020-10-03,419
2020-10-04,428
2020-10-05,470
2020-10-06,410
2020-10-07,392
2020-10-08,422
2020-10-09,440
2020-10-10,365
2020-10-11,342
2020-10-12,403
2020-10-13,429
2020-10-14,417
2020-10-15,430
2020-10-16,449
2020-10-17,398
2020-10-18,412
2020-10-19,417
2020-10-20,420
2020-10-21,422
2020-10-22,437
2020-10-23,441
2020-10-24,377
2020-10-25,412
2020-10-26,439
2020-10-27,425
2020-10-28,406
2020-10-29,451
2020-10-30,449
2020-10-31,467
2020-11-01,537
2020-11-02,428
2020-11-03,380
2020-11-04,426
2020-11-05,447
2020-11-06,447
2020-11-07,422
2020-11-08,463
2020-11-09,450
2020-11-10,451
2020-11-11,417
2020-11-12,411
2020-11-13,402
2020-11-14,426
2020-11-15,411
2020-11-16,406
2020-11-17,441
2020-11-18,409
2020-11-19,429
2020-11-20,395
2020-11-21,432
2020-11-22,374
2020-11-23,395
2020-11-24,397
2020-06-01,196
2020-06-03,181
2020-07-11,282
2020-07-15,273
2020-07-17,297
2020-09-28,431
2020-06-02,159
2020-06-08,211
2020-06-15,282
2020-07-02,251
2020-07-03,238
2020-07-12,315
2020-11-25,17
