Date,Mass Gathering Complaint
2020-10-22,31
2020-10-25,48
2020-10-31,138
2020-11-01,83
2020-11-08,58
2020-11-20,57
2020-11-24,17
2020-10-20,25
2020-11-03,5
2020-11-14,137
2020-11-15,79
2020-11-21,114
2020-10-19,7
2020-10-23,59
2020-10-30,38
2020-11-06,40
2020-11-12,21
2020-11-13,47
2020-11-22,60
2020-11-23,20
2020-10-24,105
2020-10-29,8
2020-11-07,102
2020-11-11,17
2020-11-19,21
2020-10-21,14
2020-10-26,26
2020-10-28,14
2020-11-04,12
2020-11-09,21
2020-10-27,14
2020-11-16,18
2020-11-17,13
2020-11-10,24
2020-11-25,1
2020-11-05,8
2020-11-18,12
2020-11-02,13
