Date,Noise - Commercial
2020-06-01,42
2020-06-06,78
2020-06-08,69
2020-06-09,81
2020-06-10,87
2020-06-11,96
2020-06-13,208
2020-06-19,153
2020-06-20,191
2020-06-23,129
2020-06-24,151
2020-06-25,162
2020-06-26,249
2020-06-27,282
2020-06-28,246
2020-06-30,124
2020-07-01,132
2020-07-02,150
2020-07-03,173
2020-07-04,242
2020-07-05,234
2020-07-09,197
2020-07-11,279
2020-07-12,391
2020-07-14,123
2020-07-15,134
2020-07-17,265
2020-07-18,304
2020-07-19,309
2020-07-21,113
2020-07-23,124
2020-07-24,264
2020-07-25,298
2020-07-26,254
2020-07-27,97
2020-07-30,110
2020-07-31,178
2020-08-01,284
2020-08-02,209
2020-08-03,65
2020-08-06,148
2020-08-07,156
2020-08-08,313
2020-08-09,245
2020-08-14,171
2020-08-15,298
2020-08-16,170
2020-08-17,109
2020-08-18,103
2020-08-20,147
2020-08-21,240
2020-08-22,267
2020-08-23,255
2020-08-24,78
2020-08-26,101
2020-08-28,162
2020-08-29,260
2020-08-30,317
2020-08-31,151
2020-09-01,122
2020-09-03,100
2020-09-04,190
2020-09-05,309
2020-09-08,97
2020-09-09,106
2020-09-11,258
2020-09-12,403
2020-09-13,345
2020-09-15,157
2020-09-18,235
2020-09-19,337
2020-09-20,357
2020-09-21,112
2020-09-23,214
2020-09-24,239
2020-09-25,282
2020-09-26,393
2020-09-27,374
2020-09-28,105
2020-09-29,84
2020-09-30,159
2020-10-03,430
2020-10-04,361
2020-10-06,99
2020-10-08,168
2020-10-09,270
2020-10-10,369
2020-10-11,305
2020-10-15,165
2020-10-17,265
2020-10-18,290
2020-10-21,165
2020-10-23,241
2020-10-24,322
2020-10-25,155
2020-11-05,141
2020-11-07,260
2020-11-10,137
2020-11-11,88
2020-11-20,153
2020-06-03,52
2020-06-07,135
2020-06-12,155
2020-06-14,176
2020-06-15,89
2020-06-16,95
2020-06-17,98
2020-06-18,106
2020-06-21,157
2020-06-22,100
2020-06-29,114
2020-07-06,109
2020-07-10,107
2020-07-13,175
2020-07-16,245
2020-08-05,111
2020-08-10,97
2020-08-11,81
2020-08-13,101
2020-08-19,116
2020-08-27,115
2020-09-02,77
2020-09-06,275
2020-09-07,186
2020-09-10,88
2020-09-14,127
2020-09-16,169
2020-09-17,203
2020-09-22,106
2020-10-01,203
2020-10-02,265
2020-10-07,111
2020-10-12,88
2020-10-13,81
2020-10-14,147
2020-10-16,115
2020-10-19,117
2020-10-22,194
2020-10-27,95
2020-10-28,90
2020-10-30,116
2020-10-31,244
2020-11-03,48
2020-11-04,94
2020-11-06,168
2020-11-08,300
2020-11-09,101
2020-11-12,103
2020-11-13,116
2020-11-15,132
2020-11-17,50
2020-11-18,64
2020-11-22,132
2020-11-24,57
2020-11-25,5
2020-06-02,49
2020-06-05,54
2020-07-22,90
2020-08-25,66
2020-10-05,157
2020-10-20,123
2020-06-04,56
2020-07-07,89
2020-07-08,109
2020-07-20,110
2020-07-28,77
2020-07-29,98
2020-08-04,46
2020-08-12,68
2020-10-26,93
2020-10-29,69
2020-11-01,182
2020-11-02,52
2020-11-14,184
2020-11-16,37
2020-11-19,66
2020-11-21,232
2020-11-23,74
