Date,Noncompliance With Phased Reopening
2020-06-10,106
2020-06-11,119
2020-06-13,132
2020-06-14,255
2020-06-16,169
2020-06-17,148
2020-06-18,133
2020-06-19,115
2020-06-21,63
2020-06-24,119
2020-06-27,119
2020-06-28,104
2020-06-30,123
2020-07-01,120
2020-07-02,144
2020-07-03,78
2020-07-04,57
2020-07-06,373
2020-07-07,353
2020-07-08,384
2020-07-09,449
2020-07-11,488
2020-07-12,385
2020-07-13,392
2020-07-14,307
2020-07-15,363
2020-07-16,472
2020-07-17,587
2020-07-18,501
2020-07-19,468
2020-07-20,385
2020-07-21,390
2020-07-22,356
2020-07-23,323
2020-07-24,380
2020-07-25,445
2020-07-26,388
2020-07-27,366
2020-07-28,350
2020-07-29,344
2020-07-30,358
2020-07-31,450
2020-08-01,495
2020-08-02,410
2020-08-03,435
2020-08-04,254
2020-08-05,353
2020-08-06,342
2020-08-07,347
2020-08-08,398
2020-08-09,323
2020-08-10,286
2020-08-11,290
2020-08-12,334
2020-08-13,330
2020-08-14,372
2020-08-16,229
2020-08-17,268
2020-08-18,259
2020-08-19,226
2020-08-20,276
2020-08-22,289
2020-08-24,245
2020-08-25,259
2020-08-26,203
2020-08-28,226
2020-08-29,221
2020-08-30,239
2020-08-31,197
2020-09-01,201
2020-09-04,255
2020-09-05,218
2020-09-09,246
2020-09-10,228
2020-09-12,335
2020-09-13,275
2020-09-14,219
2020-09-15,185
2020-09-16,228
2020-09-18,229
2020-09-20,202
2020-09-21,180
2020-09-23,234
2020-09-25,355
2020-09-27,287
2020-09-28,262
2020-09-29,333
2020-09-30,269
2020-10-02,357
2020-10-03,312
2020-10-04,310
2020-10-05,391
2020-10-06,303
2020-10-07,309
2020-10-09,376
2020-10-10,459
2020-10-11,317
2020-10-13,275
2020-10-15,308
2020-10-18,286
2020-10-21,266
2020-10-24,266
2020-10-25,205
2020-10-27,194
2020-10-28,210
2020-10-29,178
2020-10-30,234
2020-10-31,245
2020-11-02,184
2020-11-03,147
2020-11-05,174
2020-11-06,199
2020-11-08,188
2020-11-09,191
2020-11-10,198
2020-11-11,231
2020-11-13,319
2020-11-14,372
2020-11-15,302
2020-11-17,238
2020-11-18,255
2020-11-19,256
2020-11-20,345
2020-11-22,284
2020-11-23,278
2020-06-12,126
2020-06-22,111
2020-06-25,125
2020-06-26,145
2020-06-29,96
2020-07-05,75
2020-07-10,353
2020-08-15,304
2020-08-21,300
2020-08-23,258
2020-08-27,217
2020-09-02,221
2020-09-03,229
2020-09-07,178
2020-09-08,253
2020-09-11,300
2020-09-19,242
2020-09-22,198
2020-09-24,221
2020-09-26,351
2020-10-01,293
2020-10-08,358
2020-10-12,230
2020-10-14,307
2020-10-17,278
2020-10-19,269
2020-10-20,233
2020-10-22,239
2020-10-23,252
2020-10-26,211
2020-11-01,204
2020-11-07,168
2020-11-12,238
2020-11-16,237
2020-11-21,311
2020-11-24,225
2020-06-08,102
2020-06-09,111
2020-06-15,202
2020-06-23,107
2020-09-06,200
2020-09-17,216
2020-10-16,244
2020-11-04,144
2020-06-20,112
2020-11-25,5
2020-06-05,4
