Date,Overgrown Tree/Branches
2020-06-01,81
2020-06-02,70
2020-06-03,113
2020-06-05,99
2020-06-06,73
2020-06-07,67
2020-06-08,163
2020-06-13,40
2020-06-18,109
2020-06-21,42
2020-06-22,120
2020-06-23,123
2020-06-24,126
2020-06-25,118
2020-06-26,99
2020-06-27,57
2020-06-29,176
2020-06-30,212
2020-07-01,161
2020-07-02,115
2020-07-06,134
2020-07-07,125
2020-07-08,113
2020-07-09,101
2020-07-13,161
2020-07-15,136
2020-07-16,101
2020-07-20,100
2020-07-21,91
2020-07-22,119
2020-07-24,118
2020-07-27,146
2020-07-28,99
2020-07-29,96
2020-08-01,60
2020-08-02,44
2020-08-03,166
2020-08-04,598
2020-08-05,362
2020-08-06,195
2020-08-11,153
2020-08-13,118
2020-08-17,117
2020-08-21,87
2020-08-26,160
2020-08-28,107
2020-09-02,83
2020-09-06,24
2020-09-10,91
2020-09-11,70
2020-09-13,21
2020-09-15,85
2020-10-02,51
2020-10-09,48
2020-10-10,25
2020-10-16,49
2020-10-22,49
2020-10-29,55
2020-11-05,37
2020-11-10,50
2020-11-13,19
2020-11-16,64
2020-06-09,134
2020-06-15,127
2020-06-16,122
2020-07-05,31
2020-07-10,177
2020-07-14,138
2020-07-26,45
2020-08-08,63
2020-08-27,149
2020-08-31,96
2020-09-01,79
2020-10-13,69
2020-10-26,29
2020-11-06,30
2020-11-08,19
2020-11-20,13
2020-11-21,17
2020-06-04,94
2020-06-12,116
2020-06-14,51
2020-06-19,102
2020-06-20,52
2020-06-28,44
2020-07-03,67
2020-07-11,133
2020-07-12,64
2020-07-19,30
2020-07-23,151
2020-07-30,72
2020-07-31,98
2020-08-07,131
2020-08-10,126
2020-08-12,114
2020-08-14,108
2020-08-15,46
2020-08-16,51
2020-08-18,132
2020-08-22,38
2020-08-23,38
2020-08-24,93
2020-08-25,107
2020-08-30,47
2020-09-03,85
2020-09-08,85
2020-09-12,34
2020-09-14,86
2020-09-16,82
2020-09-17,68
2020-09-18,74
2020-09-19,37
2020-09-20,23
2020-09-21,64
2020-09-22,53
2020-09-23,75
2020-09-25,49
2020-09-28,64
2020-09-29,61
2020-10-01,66
2020-10-05,59
2020-10-07,62
2020-10-08,77
2020-10-12,32
2020-10-14,73
2020-10-15,60
2020-10-17,21
2020-10-18,22
2020-10-21,75
2020-11-02,95
2020-06-10,114
2020-06-11,107
2020-06-17,114
2020-07-04,24
2020-07-17,75
2020-07-18,37
2020-08-09,61
2020-08-19,95
2020-08-20,87
2020-08-29,31
2020-09-04,70
2020-09-05,34
2020-09-07,31
2020-09-09,67
2020-09-24,67
2020-09-26,24
2020-09-27,14
2020-09-30,91
2020-10-03,26
2020-10-06,61
2020-10-19,66
2020-10-20,39
2020-10-25,16
2020-10-27,50
2020-10-28,46
2020-10-30,37
2020-11-01,21
2020-11-03,19
2020-11-04,30
2020-11-09,50
2020-11-11,34
2020-11-14,11
2020-11-17,27
2020-11-18,31
2020-11-19,19
2020-11-23,31
2020-11-25,2
2020-07-25,51
2020-10-23,38
2020-10-24,15
2020-11-12,45
2020-11-15,34
2020-11-24,28
2020-10-31,22
2020-10-11,18
2020-11-22,11
2020-11-07,6
2020-10-04,22
