Date,Illegal Parking
2020-06-01,263
2020-06-02,339
2020-06-03,378
2020-06-04,336
2020-06-05,364
2020-06-06,415
2020-06-07,430
2020-06-08,445
2020-06-09,410
2020-06-10,415
2020-06-11,382
2020-06-12,429
2020-06-13,461
2020-06-14,465
2020-06-15,464
2020-06-16,485
2020-06-17,493
2020-06-18,488
2020-06-19,437
2020-06-20,536
2020-06-21,560
2020-06-22,500
2020-06-23,533
2020-06-24,542
2020-06-25,519
2020-06-26,578
2020-06-27,527
2020-06-28,571
2020-06-29,550
2020-06-30,606
2020-07-01,455
2020-07-02,508
2020-07-03,450
2020-07-04,369
2020-07-05,523
2020-07-06,503
2020-07-07,511
2020-07-08,577
2020-07-09,580
2020-07-10,409
2020-07-11,470
2020-07-12,658
2020-07-13,558
2020-07-14,524
2020-07-15,576
2020-07-16,556
2020-07-17,519
2020-07-18,534
2020-07-19,740
2020-07-20,539
2020-07-21,610
2020-07-22,531
2020-07-23,564
2020-07-24,819
2020-07-25,633
2020-07-26,677
2020-07-27,536
2020-07-28,702
2020-07-29,517
2020-07-30,522
2020-07-31,511
2020-08-01,620
2020-08-02,615
2020-08-03,587
2020-08-04,451
2020-08-05,641
2020-08-06,651
2020-08-07,551
2020-08-08,628
2020-08-09,680
2020-08-10,585
2020-08-11,539
2020-08-12,586
2020-08-13,593
2020-08-14,607
2020-08-15,622
2020-08-16,518
2020-08-17,564
2020-08-18,551
2020-08-19,582
2020-08-20,570
2020-08-21,600
2020-08-22,619
2020-08-23,600
2020-08-24,572
2020-08-25,492
2020-08-26,536
2020-08-27,568
2020-08-28,626
2020-08-29,606
2020-08-30,663
2020-08-31,651
2020-09-01,625
2020-09-02,616
2020-09-03,618
2020-09-04,620
2020-09-05,606
2020-09-06,533
2020-09-07,554
2020-09-08,681
2020-09-09,695
2020-09-10,784
2020-09-11,836
2020-09-12,716
2020-09-13,713
2020-09-14,767
2020-09-15,731
2020-09-16,746
2020-09-17,847
2020-09-18,753
2020-09-19,626
2020-09-20,650
2020-09-21,693
2020-09-22,626
2020-09-23,740
2020-09-24,834
2020-09-25,824
2020-09-26,648
2020-09-27,669
2020-09-28,598
2020-09-29,716
2020-09-30,711
2020-10-01,786
2020-10-02,720
2020-10-03,578
2020-10-04,665
2020-10-05,723
2020-10-06,755
2020-10-07,749
2020-10-08,684
2020-10-09,708
2020-10-10,577
2020-10-11,629
2020-10-12,479
2020-10-13,575
2020-10-14,654
2020-10-15,766
2020-10-16,671
2020-10-17,579
2020-10-18,642
2020-10-19,715
2020-10-20,676
2020-10-21,701
2020-10-22,777
2020-10-23,696
2020-10-24,627
2020-10-25,637
2020-10-26,649
2020-10-27,727
2020-10-28,648
2020-10-29,609
2020-10-30,585
2020-10-31,554
2020-11-01,645
2020-11-02,558
2020-11-03,580
2020-11-04,676
2020-11-05,775
2020-11-06,765
2020-11-07,591
2020-11-08,696
2020-11-09,705
2020-11-10,712
2020-11-11,636
2020-11-12,684
2020-11-13,670
2020-11-14,632
2020-11-15,693
2020-11-16,678
2020-11-17,620
2020-11-18,616
2020-11-19,642
2020-11-20,700
2020-11-21,727
2020-11-22,660
2020-11-23,690
2020-11-24,706
2020-11-25,53
