Date,Sidewalk Condition
2020-06-01,37
2020-06-02,82
2020-06-04,68
2020-06-05,68
2020-06-07,14
2020-06-08,59
2020-06-09,113
2020-06-10,176
2020-06-11,67
2020-06-15,80
2020-06-16,264
2020-06-17,154
2020-06-18,80
2020-06-21,103
2020-06-22,83
2020-06-23,94
2020-06-24,69
2020-07-06,79
2020-07-09,49
2020-07-18,27
2020-07-20,56
2020-07-22,50
2020-07-29,50
2020-08-01,28
2020-08-02,22
2020-08-03,50
2020-08-05,61
2020-08-06,70
2020-08-21,123
2020-08-25,60
2020-08-28,260
2020-09-07,59
2020-09-10,247
2020-09-11,73
2020-09-13,121
2020-09-16,113
2020-09-17,59
2020-09-18,134
2020-09-21,206
2020-09-24,86
2020-09-26,54
2020-09-28,253
2020-09-29,183
2020-10-02,395
2020-10-03,127
2020-10-04,63
2020-10-05,155
2020-10-06,80
2020-10-07,75
2020-10-15,70
2020-10-21,63
2020-10-26,62
2020-10-27,57
2020-10-28,63
2020-11-05,62
2020-11-09,93
2020-11-10,112
2020-11-12,34
2020-11-13,48
2020-11-15,23
2020-11-16,343
2020-11-18,197
2020-11-20,47
2020-11-23,77
2020-06-26,46
2020-06-30,70
2020-07-04,192
2020-07-08,60
2020-07-23,65
2020-07-24,35
2020-07-26,20
2020-07-28,54
2020-07-30,47
2020-07-31,39
2020-08-11,170
2020-08-15,160
2020-08-18,256
2020-08-19,93
2020-08-20,216
2020-08-26,66
2020-08-29,278
2020-09-01,302
2020-09-03,391
2020-09-06,175
2020-09-08,84
2020-09-09,338
2020-09-22,52
2020-09-23,187
2020-10-01,224
2020-10-08,309
2020-10-09,143
2020-10-11,96
2020-10-16,48
2020-10-20,116
2020-10-22,75
2020-10-23,64
2020-10-31,28
2020-11-04,53
2020-11-06,60
2020-11-07,35
2020-06-13,343
2020-06-14,96
2020-06-19,49
2020-06-20,51
2020-06-29,69
2020-07-03,312
2020-07-07,85
2020-07-11,37
2020-07-13,51
2020-07-14,43
2020-07-15,44
2020-07-16,62
2020-07-17,47
2020-07-19,27
2020-07-21,56
2020-07-27,53
2020-08-10,68
2020-08-12,64
2020-08-17,62
2020-08-22,59
2020-08-23,172
2020-08-27,369
2020-08-31,226
2020-09-02,168
2020-09-04,342
2020-09-15,144
2020-09-19,275
2020-09-20,67
2020-09-25,61
2020-09-27,81
2020-10-30,25
2020-11-01,53
2020-11-08,27
2020-11-24,57
2020-06-03,47
2020-06-06,26
2020-06-12,115
2020-06-25,59
2020-06-27,60
2020-07-01,42
2020-08-04,59
2020-08-07,70
2020-08-09,22
2020-08-13,76
2020-08-24,193
2020-08-30,142
2020-09-05,77
2020-09-12,35
2020-09-14,61
2020-09-30,141
2020-10-10,82
2020-10-12,55
2020-10-13,67
2020-10-14,46
2020-10-17,31
2020-10-19,52
2020-10-24,42
2020-10-25,31
2020-10-29,38
2020-11-03,54
2020-11-17,74
2020-11-19,47
2020-11-21,32
2020-11-22,19
2020-07-02,44
2020-07-10,46
2020-07-12,24
2020-07-25,25
2020-11-02,45
2020-06-28,30
2020-08-16,119
2020-11-11,35
2020-07-05,33
2020-08-08,31
2020-11-14,16
2020-08-14,56
2020-10-18,21
