Date,Street Condition
2020-06-01,98
2020-06-02,141
2020-06-05,122
2020-06-07,94
2020-06-08,153
2020-06-09,133
2020-06-13,81
2020-06-15,146
2020-06-16,121
2020-06-17,134
2020-06-18,131
2020-06-19,142
2020-06-20,91
2020-06-22,159
2020-06-23,154
2020-06-26,145
2020-06-30,196
2020-07-01,217
2020-07-04,49
2020-07-05,89
2020-07-06,193
2020-07-09,158
2020-07-10,123
2020-07-13,193
2020-07-16,143
2020-07-19,66
2020-07-21,162
2020-07-23,158
2020-07-27,186
2020-07-30,117
2020-07-31,168
2020-08-03,156
2020-08-04,152
2020-08-05,143
2020-08-07,122
2020-08-09,77
2020-08-10,152
2020-08-11,154
2020-08-12,170
2020-08-16,74
2020-08-17,169
2020-08-18,189
2020-08-19,166
2020-08-21,165
2020-08-22,78
2020-08-23,81
2020-08-24,146
2020-08-25,141
2020-08-26,147
2020-08-27,139
2020-08-28,137
2020-08-30,112
2020-08-31,188
2020-09-01,165
2020-09-02,145
2020-09-03,122
2020-09-04,102
2020-09-07,70
2020-09-08,174
2020-09-10,160
2020-09-11,171
2020-09-12,84
2020-09-14,182
2020-09-15,159
2020-09-16,174
2020-09-19,81
2020-09-20,48
2020-09-23,149
2020-09-24,142
2020-09-25,134
2020-09-27,94
2020-09-28,140
2020-09-29,160
2020-09-30,144
2020-10-01,155
2020-10-02,112
2020-10-05,110
2020-10-06,140
2020-10-07,131
2020-10-08,98
2020-10-14,155
2020-10-16,125
2020-10-17,70
2020-10-18,58
2020-10-19,142
2020-10-21,161
2020-10-22,151
2020-10-24,75
2020-10-25,68
2020-10-26,116
2020-10-27,111
2020-10-30,89
2020-11-03,105
2020-11-06,111
2020-11-07,62
2020-11-09,123
2020-11-12,126
2020-11-13,109
2020-11-16,157
2020-11-19,135
2020-11-22,81
2020-06-06,86
2020-06-12,152
2020-06-14,92
2020-06-25,139
2020-06-27,71
2020-07-03,101
2020-07-07,223
2020-07-08,224
2020-07-14,175
2020-07-15,163
2020-07-20,140
2020-07-28,142
2020-07-29,155
2020-08-06,134
2020-08-08,92
2020-08-13,152
2020-09-17,141
2020-09-18,129
2020-10-03,46
2020-10-04,69
2020-10-09,111
2020-10-10,88
2020-10-20,154
2020-10-23,112
2020-10-31,75
2020-11-01,64
2020-11-04,109
2020-11-05,128
2020-11-08,78
2020-11-11,117
2020-11-14,60
2020-11-15,73
2020-11-18,101
2020-06-03,107
2020-06-04,127
2020-06-10,146
2020-06-11,130
2020-06-21,86
2020-06-24,158
2020-06-28,54
2020-06-29,128
2020-07-02,173
2020-07-11,94
2020-07-12,128
2020-07-17,133
2020-07-24,122
2020-07-25,100
2020-07-26,87
2020-08-01,81
2020-08-14,104
2020-08-15,79
2020-08-20,140
2020-08-29,82
2020-09-06,76
2020-09-09,184
2020-09-13,97
2020-09-21,136
2020-09-22,156
2020-09-26,74
2020-10-11,73
2020-10-12,56
2020-10-13,126
2020-10-15,127
2020-10-28,103
2020-10-29,108
2020-11-02,118
2020-11-10,130
2020-11-17,146
2020-11-20,80
2020-11-23,95
2020-07-18,76
2020-07-22,124
2020-08-02,92
2020-11-24,64
2020-11-21,68
2020-09-05,47
2020-11-25,1
