Date,Traffic
2020-06-07,15
2020-06-09,10
2020-06-14,17
2020-06-18,27
2020-06-24,21
2020-07-01,15
2020-07-02,13
2020-07-09,11
2020-07-31,8
2020-08-08,18
2020-08-09,15
2020-08-11,8
2020-08-15,14
2020-08-16,8
2020-08-19,16
2020-08-22,13
2020-08-24,15
2020-08-26,15
2020-08-29,12
2020-08-31,18
2020-09-02,7
2020-09-07,16
2020-09-08,15
2020-09-11,21
2020-09-12,26
2020-09-13,19
2020-09-14,22
2020-09-15,16
2020-09-16,30
2020-09-17,30
2020-09-18,26
2020-09-21,20
2020-09-23,12
2020-09-25,19
2020-09-26,20
2020-09-27,20
2020-09-28,12
2020-09-30,11
2020-10-01,24
2020-10-02,14
2020-10-03,33
2020-10-07,19
2020-10-08,19
2020-10-09,15
2020-10-10,22
2020-10-13,16
2020-10-14,17
2020-10-16,7
2020-10-18,14
2020-10-19,17
2020-10-20,13
2020-10-21,5
2020-10-22,21
2020-10-23,14
2020-10-27,13
2020-10-28,11
2020-10-29,5
2020-10-30,8
2020-11-01,10
2020-11-02,7
2020-11-04,7
2020-11-05,7
2020-11-07,9
2020-11-08,18
2020-11-09,15
2020-11-10,12
2020-11-14,9
2020-11-20,10
2020-11-22,11
2020-06-05,6
2020-06-06,11
2020-06-10,12
2020-06-12,11
2020-06-13,18
2020-06-23,18
2020-08-06,17
2020-08-07,8
2020-08-12,10
2020-08-27,10
2020-09-05,16
2020-09-20,11
2020-10-15,25
2020-06-21,16
2020-06-28,20
2020-07-12,13
2020-07-13,10
2020-07-30,12
2020-08-10,9
2020-08-18,11
2020-09-29,19
2020-11-03,7
2020-11-15,5
2020-11-16,11
2020-11-17,12
2020-11-19,9
2020-06-17,23
2020-06-22,12
2020-06-29,9
2020-07-07,13
2020-07-15,11
2020-08-05,19
2020-08-25,4
2020-08-30,11
2020-09-04,26
2020-09-09,11
2020-11-13,6
2020-06-08,14
2020-06-16,14
2020-06-25,20
2020-06-26,18
2020-06-27,9
2020-07-05,8
2020-07-14,14
2020-07-29,8
2020-08-13,9
2020-08-20,12
2020-08-21,15
2020-08-23,8
2020-09-06,17
2020-10-04,28
2020-10-06,17
2020-10-12,6
2020-08-04,8
2020-08-14,16
2020-09-24,26
2020-11-12,7
2020-06-02,6
2020-06-03,3
2020-06-19,19
2020-07-08,10
2020-07-21,9
2020-07-23,4
2020-07-28,7
2020-08-28,12
2020-09-10,9
2020-10-25,11
2020-11-18,15
2020-06-01,12
2020-07-03,9
2020-07-17,13
2020-07-24,10
2020-08-03,5
2020-10-11,16
2020-10-26,4
2020-10-31,6
2020-06-11,13
2020-07-26,14
2020-08-01,6
2020-08-17,8
2020-09-01,11
2020-11-21,5
2020-07-16,14
2020-07-19,12
2020-07-22,6
2020-09-03,7
2020-09-19,25
2020-10-17,11
2020-06-20,17
2020-07-06,7
2020-06-30,14
2020-07-10,12
2020-11-06,15
2020-11-23,8
2020-11-24,13
2020-08-02,16
2020-07-11,8
2020-07-18,13
2020-07-20,6
2020-11-11,8
2020-06-15,12
2020-07-27,8
2020-07-04,4
2020-10-05,16
2020-06-04,7
2020-10-24,11
2020-07-25,6
2020-09-22,12
